,stay_date,room_cnt,isEvent,event_category
59,2008-02-29,41,0,0.0
60,2008-03-01,52,0,0.0
61,2008-03-02,62,0,0.0
62,2008-03-03,24,0,0.0
63,2008-03-04,45,0,0.0
64,2008-03-05,45,0,0.0
65,2008-03-06,67,0,0.0
66,2008-03-07,62,0,0.0
67,2008-03-08,33,0,0.0
68,2008-03-09,34,0,0.0
69,2008-03-10,28,0,0.0
70,2008-03-11,55,0,0.0
71,2008-03-12,73,0,0.0
72,2008-03-13,85,0,0.0
73,2008-03-14,69,0,0.0
74,2008-03-15,55,0,0.0
75,2008-03-16,53,0,0.0
76,2008-03-17,26,0,0.0
77,2008-03-18,45,0,0.0
78,2008-03-19,61,0,0.0
79,2008-03-20,74,0,0.0
80,2008-03-21,42,0,0.0
81,2008-03-22,31,0,0.0
82,2008-03-23,19,1,1.0
83,2008-03-24,19,0,0.0
84,2008-03-25,19,0,0.0
85,2008-03-26,66,0,0.0
86,2008-03-27,70,0,0.0
87,2008-03-28,60,0,0.0
88,2008-03-29,44,0,0.0
89,2008-03-30,29,0,0.0
90,2008-03-31,62,0,0.0
91,2008-04-01,76,0,0.0
92,2008-04-02,80,0,0.0
93,2008-04-03,80,0,0.0
94,2008-04-04,65,0,0.0
95,2008-04-05,69,0,0.0
96,2008-04-06,26,0,0.0
97,2008-04-07,30,0,0.0
98,2008-04-08,70,0,0.0
99,2008-04-09,74,0,0.0
100,2008-04-10,72,0,0.0
101,2008-04-11,98,0,0.0
102,2008-04-12,48,0,0.0
103,2008-04-13,41,0,0.0
104,2008-04-14,37,0,0.0
105,2008-04-15,105,0,0.0
106,2008-04-16,107,0,0.0
107,2008-04-17,76,0,0.0
108,2008-04-18,73,0,0.0
109,2008-04-19,43,0,0.0
110,2008-04-20,33,0,0.0
111,2008-04-21,27,0,0.0
112,2008-04-22,80,0,0.0
113,2008-04-23,56,0,0.0
114,2008-04-24,79,0,0.0
115,2008-04-25,55,0,0.0
116,2008-04-26,100,0,0.0
117,2008-04-27,83,0,0.0
118,2008-04-28,53,0,0.0
119,2008-04-29,111,0,0.0
120,2008-04-30,51,0,0.0
121,2008-05-01,30,0,0.0
122,2008-05-02,78,0,0.0
123,2008-05-03,119,0,0.0
124,2008-05-04,98,0,0.0
125,2008-05-05,86,0,0.0
126,2008-05-06,126,0,0.0
127,2008-05-07,113,0,0.0
128,2008-05-08,124,0,0.0
129,2008-05-09,127,0,0.0
130,2008-05-10,101,0,0.0
131,2008-05-11,80,0,0.0
132,2008-05-12,36,0,0.0
133,2008-05-13,68,0,0.0
134,2008-05-14,58,0,0.0
135,2008-05-15,64,0,0.0
136,2008-05-16,38,0,0.0
137,2008-05-17,63,0,0.0
138,2008-05-18,94,0,0.0
139,2008-05-19,52,0,0.0
140,2008-05-20,107,0,0.0
141,2008-05-21,101,0,0.0
142,2008-05-22,61,0,0.0
143,2008-05-23,63,0,0.0
144,2008-05-24,115,0,0.0
145,2008-05-25,109,0,0.0
146,2008-05-26,15,0,0.0
147,2008-05-27,73,0,0.0
148,2008-05-28,76,0,0.0
149,2008-05-29,79,0,0.0
150,2008-05-30,79,0,0.0
151,2008-05-31,80,0,0.0
152,2008-06-01,52,0,0.0
153,2008-06-02,41,0,0.0
154,2008-06-03,103,0,0.0
155,2008-06-04,68,0,0.0
156,2008-06-05,108,0,0.0
157,2008-06-06,103,0,0.0
158,2008-06-07,72,0,0.0
159,2008-06-08,48,0,0.0
160,2008-06-09,64,1,2.0
161,2008-06-10,121,2,2.0
162,2008-06-11,113,2,2.0
163,2008-06-12,60,1,2.0
164,2008-06-13,65,1,2.0
165,2008-06-14,114,1,2.0
166,2008-06-15,67,1,2.0
167,2008-06-16,24,1,1.0
168,2008-06-17,110,1,2.0
169,2008-06-18,82,0,0.0
170,2008-06-19,62,0,0.0
171,2008-06-20,55,0,0.0
172,2008-06-21,51,1,1.0
173,2008-06-22,48,0,0.0
174,2008-06-23,21,0,0.0
175,2008-06-24,89,0,0.0
176,2008-06-25,76,0,0.0
177,2008-06-26,88,0,0.0
178,2008-06-27,70,1,2.0
179,2008-06-28,72,1,2.0
180,2008-06-29,50,1,1.0
181,2008-06-30,23,1,1.0
182,2008-07-01,96,1,2.0
183,2008-07-02,95,1,2.0
184,2008-07-03,33,1,1.0
185,2008-07-04,42,1,1.0
186,2008-07-05,43,1,1.0
187,2008-07-06,65,1,2.0
188,2008-07-07,24,1,1.0
189,2008-07-08,81,1,2.0
190,2008-07-09,66,1,2.0
191,2008-07-10,78,1,2.0
192,2008-07-11,64,1,2.0
193,2008-07-12,51,1,1.0
194,2008-07-13,23,1,1.0
195,2008-07-14,24,1,1.0
196,2008-07-15,95,1,2.0
197,2008-07-16,60,1,2.0
198,2008-07-17,64,1,2.0
199,2008-07-18,48,1,1.0
200,2008-07-19,61,1,2.0
201,2008-07-20,48,1,1.0
202,2008-07-21,28,1,1.0
203,2008-07-22,76,1,2.0
204,2008-07-23,54,1,1.0
205,2008-07-24,54,1,1.0
206,2008-07-25,71,1,2.0
207,2008-07-26,59,1,2.0
208,2008-07-27,35,1,1.0
209,2008-07-28,28,0,0.0
210,2008-07-29,117,0,0.0
211,2008-07-30,72,0,0.0
212,2008-07-31,65,0,0.0
213,2008-08-01,46,0,0.0
214,2008-08-02,60,0,0.0
215,2008-08-03,53,0,0.0
216,2008-08-04,52,0,0.0
217,2008-08-05,97,0,0.0
218,2008-08-06,74,0,0.0
219,2008-08-07,73,0,0.0
220,2008-08-08,67,0,0.0
221,2008-08-09,78,0,0.0
222,2008-08-10,58,0,0.0
223,2008-08-11,38,0,0.0
224,2008-08-12,110,0,0.0
225,2008-08-13,84,0,0.0
226,2008-08-14,101,0,0.0
227,2008-08-15,96,0,0.0
228,2008-08-16,100,0,0.0
229,2008-08-17,97,0,0.0
230,2008-08-18,60,0,0.0
231,2008-08-19,100,0,0.0
232,2008-08-20,43,0,0.0
233,2008-08-21,36,0,0.0
234,2008-08-22,47,0,0.0
235,2008-08-23,57,0,0.0
236,2008-08-24,74,0,0.0
237,2008-08-25,31,0,0.0
238,2008-08-26,113,0,0.0
239,2008-08-27,76,0,0.0
240,2008-08-28,69,0,0.0
241,2008-08-29,75,0,0.0
242,2008-08-30,43,0,0.0
243,2008-08-31,28,0,0.0
244,2008-09-01,64,0,0.0
245,2008-09-02,76,0,0.0
246,2008-09-03,46,0,0.0
247,2008-09-04,49,0,0.0
248,2008-09-05,37,1,1.0
249,2008-09-06,18,0,0.0
250,2008-09-07,18,0,0.0
251,2008-09-08,30,0,0.0
252,2008-09-09,36,0,0.0
253,2008-09-10,66,0,0.0
254,2008-09-11,85,0,0.0
255,2008-09-12,73,0,0.0
256,2008-09-13,54,0,0.0
257,2008-09-14,92,0,0.0
258,2008-09-15,82,0,0.0
259,2008-09-16,111,0,0.0
260,2008-09-17,82,0,0.0
261,2008-09-18,105,0,0.0
262,2008-09-19,92,0,0.0
263,2008-09-20,53,0,0.0
264,2008-09-21,60,0,0.0
265,2008-09-22,43,0,0.0
266,2008-09-23,117,0,0.0
267,2008-09-24,71,0,0.0
268,2008-09-25,118,1,2.0
269,2008-09-26,116,1,2.0
270,2008-09-27,95,0,0.0
271,2008-09-28,58,0,0.0
272,2008-09-29,32,0,0.0
273,2008-09-30,96,0,0.0
274,2008-10-01,107,0,0.0
275,2008-10-02,77,1,2.0
276,2008-10-03,97,1,2.0
277,2008-10-04,64,1,2.0
278,2008-10-05,45,1,1.0
279,2008-10-06,46,1,1.0
280,2008-10-07,87,1,2.0
281,2008-10-08,40,1,1.0
282,2008-10-09,46,1,1.0
283,2008-10-10,52,1,1.0
284,2008-10-11,78,1,2.0
285,2008-10-12,83,0,0.0
286,2008-10-13,99,0,0.0
287,2008-10-14,59,0,0.0
288,2008-10-15,67,0,0.0
289,2008-10-16,87,0,0.0
290,2008-10-17,80,0,0.0
291,2008-10-18,117,0,0.0
292,2008-10-19,101,0,0.0
293,2008-10-20,39,0,0.0
294,2008-10-21,83,0,0.0
295,2008-10-22,93,0,0.0
296,2008-10-23,81,0,0.0
297,2008-10-24,88,0,0.0
298,2008-10-25,46,0,0.0
299,2008-10-26,61,0,0.0
300,2008-10-27,73,0,0.0
301,2008-10-28,66,0,0.0
302,2008-10-29,83,0,0.0
303,2008-10-30,77,0,0.0
304,2008-10-31,43,0,0.0
305,2008-11-01,27,0,0.0
306,2008-11-02,24,0,0.0
307,2008-11-03,32,0,0.0
308,2008-11-04,55,0,0.0
309,2008-11-05,70,0,0.0
310,2008-11-06,50,0,0.0
311,2008-11-07,89,0,0.0
312,2008-11-08,117,0,0.0
313,2008-11-09,49,0,0.0
314,2008-11-10,37,0,0.0
315,2008-11-11,42,0,0.0
316,2008-11-12,60,0,0.0
317,2008-11-13,115,0,0.0
318,2008-11-14,120,0,0.0
319,2008-11-15,119,0,0.0
320,2008-11-16,20,0,0.0
321,2008-11-17,28,0,0.0
322,2008-11-18,57,0,0.0
323,2008-11-19,54,0,0.0
324,2008-11-20,72,0,0.0
325,2008-11-21,60,0,0.0
326,2008-11-22,53,0,0.0
327,2008-11-23,49,0,0.0
328,2008-11-24,31,0,0.0
329,2008-11-25,58,0,0.0
330,2008-11-26,72,0,0.0
331,2008-11-27,85,0,0.0
332,2008-11-28,69,0,0.0
333,2008-11-29,49,0,0.0
334,2008-11-30,30,0,0.0
335,2008-12-01,22,0,0.0
336,2008-12-02,72,0,0.0
337,2008-12-03,52,0,0.0
338,2008-12-04,74,0,0.0
339,2008-12-05,49,1,1.0
340,2008-12-06,29,1,1.0
341,2008-12-07,31,1,1.0
342,2008-12-08,37,1,1.0
343,2008-12-09,73,1,2.0
344,2008-12-10,119,1,2.0
345,2008-12-11,117,2,2.0
346,2008-12-12,116,2,2.0
347,2008-12-13,115,2,2.0
348,2008-12-14,101,1,2.0
349,2008-12-15,110,0,0.0
350,2008-12-16,66,0,0.0
351,2008-12-17,72,0,0.0
352,2008-12-18,51,0,0.0
353,2008-12-19,47,0,0.0
354,2008-12-20,21,0,0.0
355,2008-12-21,11,0,0.0
356,2008-12-22,16,0,0.0
357,2008-12-23,20,0,0.0
358,2008-12-24,5,0,0.0
359,2008-12-25,3,1,1.0
360,2008-12-26,6,0,0.0
361,2008-12-27,4,0,0.0
362,2008-12-28,4,0,0.0
363,2008-12-29,11,0,0.0
364,2008-12-30,14,0,0.0
365,2008-12-31,54,0,0.0
366,2009-01-01,89,0,0.0
367,2009-01-02,52,0,0.0
368,2009-01-03,44,0,0.0
369,2009-01-04,14,0,0.0
370,2009-01-05,11,0,0.0
371,2009-01-06,10,0,0.0
372,2009-01-07,15,0,0.0
373,2009-01-08,24,0,0.0
374,2009-01-09,32,0,0.0
375,2009-01-10,22,0,0.0
376,2009-01-11,22,0,0.0
377,2009-01-12,24,0,0.0
378,2009-01-13,48,0,0.0
379,2009-01-14,45,0,0.0
380,2009-01-15,48,0,0.0
381,2009-01-16,48,0,0.0
382,2009-01-17,37,1,1.0
383,2009-01-18,18,1,1.0
384,2009-01-19,34,1,1.0
385,2009-01-20,63,1,2.0
386,2009-01-21,80,1,2.0
387,2009-01-22,68,1,2.0
388,2009-01-23,59,1,2.0
389,2009-01-24,36,1,1.0
390,2009-01-25,63,1,2.0
391,2009-01-26,30,1,1.0
392,2009-01-27,66,1,2.0
393,2009-01-28,59,1,2.0
394,2009-01-29,48,1,1.0
395,2009-01-30,47,1,1.0
396,2009-01-31,26,1,1.0
397,2009-02-01,26,1,1.0
398,2009-02-02,17,1,1.0
399,2009-02-03,56,1,1.0
400,2009-02-04,74,1,2.0
401,2009-02-05,53,1,1.0
402,2009-02-06,52,1,1.0
403,2009-02-07,23,1,1.0
404,2009-02-08,28,1,1.0
405,2009-02-09,10,1,1.0
406,2009-02-10,45,1,1.0
407,2009-02-11,57,1,1.0
408,2009-02-12,103,1,2.0
409,2009-02-13,82,1,2.0
410,2009-02-14,64,1,2.0
411,2009-02-15,36,1,1.0
412,2009-02-16,32,1,1.0
413,2009-02-17,67,1,2.0
414,2009-02-18,70,1,2.0
415,2009-02-19,69,1,2.0
416,2009-02-20,38,1,1.0
417,2009-02-21,33,1,1.0
418,2009-02-22,87,1,2.0
419,2009-02-23,22,1,1.0
420,2009-02-24,40,1,1.0
421,2009-02-25,43,0,0.0
422,2009-02-26,65,0,0.0
423,2009-02-27,46,0,0.0
424,2009-02-28,31,0,0.0
425,2009-03-01,19,0,0.0
426,2009-03-02,22,0,0.0
427,2009-03-03,59,0,0.0
428,2009-03-04,71,0,0.0
429,2009-03-05,64,0,0.0
430,2009-03-06,54,0,0.0
431,2009-03-07,30,0,0.0
432,2009-03-08,34,0,0.0
433,2009-03-09,34,0,0.0
434,2009-03-10,49,0,0.0
435,2009-03-11,53,0,0.0
436,2009-03-12,68,0,0.0
437,2009-03-13,73,0,0.0
438,2009-03-14,50,0,0.0
439,2009-03-15,33,0,0.0
440,2009-03-16,29,0,0.0
441,2009-03-17,40,0,0.0
442,2009-03-18,50,0,0.0
443,2009-03-19,67,0,0.0
444,2009-03-20,57,0,0.0
445,2009-03-21,35,0,0.0
446,2009-03-22,29,0,0.0
447,2009-03-23,29,0,0.0
448,2009-03-24,59,0,0.0
449,2009-03-25,65,0,0.0
450,2009-03-26,62,0,0.0
451,2009-03-27,54,0,0.0
452,2009-03-28,39,0,0.0
453,2009-03-29,23,0,0.0
454,2009-03-30,21,0,0.0
455,2009-03-31,31,0,0.0
456,2009-04-01,77,0,0.0
457,2009-04-02,101,0,0.0
458,2009-04-03,91,0,0.0
459,2009-04-04,28,0,0.0
460,2009-04-05,28,0,0.0
461,2009-04-06,36,0,0.0
462,2009-04-07,65,0,0.0
463,2009-04-08,64,0,0.0
464,2009-04-09,76,0,0.0
465,2009-04-10,61,0,0.0
466,2009-04-11,47,0,0.0
467,2009-04-12,44,1,1.0
468,2009-04-13,43,0,0.0
469,2009-04-14,22,0,0.0
470,2009-04-15,49,0,0.0
471,2009-04-16,60,0,0.0
472,2009-04-17,86,0,0.0
473,2009-04-18,48,0,0.0
474,2009-04-19,32,0,0.0
475,2009-04-20,38,0,0.0
476,2009-04-21,79,0,0.0
477,2009-04-22,82,0,0.0
478,2009-04-23,90,0,0.0
479,2009-04-24,81,0,0.0
480,2009-04-25,58,0,0.0
481,2009-04-26,63,0,0.0
482,2009-04-27,63,0,0.0
483,2009-04-28,102,0,0.0
484,2009-04-29,92,0,0.0
485,2009-04-30,84,0,0.0
486,2009-05-01,49,0,0.0
487,2009-05-02,42,0,0.0
488,2009-05-03,40,0,0.0
489,2009-05-04,41,0,0.0
490,2009-05-05,76,0,0.0
491,2009-05-06,89,0,0.0
492,2009-05-07,95,0,0.0
493,2009-05-08,101,0,0.0
494,2009-05-09,73,0,0.0
495,2009-05-10,49,0,0.0
496,2009-05-11,65,0,0.0
497,2009-05-12,84,0,0.0
498,2009-05-13,74,0,0.0
499,2009-05-14,98,0,0.0
500,2009-05-15,65,0,0.0
501,2009-05-16,101,0,0.0
502,2009-05-17,33,0,0.0
503,2009-05-18,46,0,0.0
504,2009-05-19,118,0,0.0
505,2009-05-20,53,0,0.0
506,2009-05-21,83,0,0.0
507,2009-05-22,121,0,0.0
508,2009-05-23,122,0,0.0
509,2009-05-24,115,0,0.0
510,2009-05-25,24,0,0.0
511,2009-05-26,67,0,0.0
512,2009-05-27,54,0,0.0
513,2009-05-28,94,0,0.0
514,2009-05-29,70,0,0.0
515,2009-05-30,52,0,0.0
516,2009-05-31,52,0,0.0
517,2009-06-01,99,0,0.0
518,2009-06-02,117,0,0.0
519,2009-06-03,52,0,0.0
520,2009-06-04,66,0,0.0
521,2009-06-05,64,0,0.0
522,2009-06-06,75,0,0.0
523,2009-06-07,50,0,0.0
524,2009-06-08,78,0,0.0
525,2009-06-09,125,0,0.0
526,2009-06-10,90,1,2.0
527,2009-06-11,39,1,1.0
528,2009-06-12,62,1,2.0
529,2009-06-13,113,1,2.0
530,2009-06-14,108,1,2.0
531,2009-06-15,21,1,1.0
532,2009-06-16,105,1,2.0
533,2009-06-17,70,1,2.0
534,2009-06-18,65,0,0.0
535,2009-06-19,65,0,0.0
536,2009-06-20,78,0,0.0
537,2009-06-21,61,0,0.0
538,2009-06-22,21,0,0.0
539,2009-06-23,63,0,0.0
540,2009-06-24,48,0,0.0
541,2009-06-25,56,0,0.0
542,2009-06-26,39,0,0.0
543,2009-06-27,94,0,0.0
544,2009-06-28,90,0,0.0
545,2009-06-29,90,0,0.0
546,2009-06-30,116,0,0.0
547,2009-07-01,87,0,0.0
548,2009-07-02,61,0,0.0
549,2009-07-03,38,0,0.0
550,2009-07-04,74,0,0.0
551,2009-07-05,45,0,0.0
552,2009-07-06,54,0,0.0
553,2009-07-07,81,0,0.0
554,2009-07-08,50,0,0.0
555,2009-07-09,67,0,0.0
556,2009-07-10,51,0,0.0
557,2009-07-11,79,0,0.0
558,2009-07-12,60,0,0.0
559,2009-07-13,58,0,0.0
560,2009-07-14,97,0,0.0
561,2009-07-15,67,0,0.0
562,2009-07-16,73,0,0.0
563,2009-07-17,56,0,0.0
564,2009-07-18,54,0,0.0
565,2009-07-19,51,0,0.0
566,2009-07-20,52,0,0.0
567,2009-07-21,99,0,0.0
568,2009-07-22,58,0,0.0
569,2009-07-23,61,1,2.0
570,2009-07-24,77,0,0.0
571,2009-07-25,51,0,0.0
572,2009-07-26,39,0,0.0
573,2009-07-27,61,0,0.0
574,2009-07-28,70,0,0.0
575,2009-07-29,90,0,0.0
576,2009-07-30,69,1,2.0
577,2009-07-31,94,0,0.0
578,2009-08-01,41,0,0.0
579,2009-08-02,39,0,0.0
580,2009-08-03,58,0,0.0
581,2009-08-04,79,0,0.0
582,2009-08-05,58,0,0.0
583,2009-08-06,39,0,0.0
584,2009-08-07,55,0,0.0
585,2009-08-08,94,0,0.0
586,2009-08-09,89,0,0.0
587,2009-08-10,88,0,0.0
588,2009-08-11,117,0,0.0
589,2009-08-12,48,0,0.0
590,2009-08-13,54,0,0.0
591,2009-08-14,66,0,0.0
592,2009-08-15,113,0,0.0
593,2009-08-16,102,0,0.0
594,2009-08-17,94,0,0.0
595,2009-08-18,106,0,0.0
596,2009-08-19,108,0,0.0
597,2009-08-20,113,0,0.0
598,2009-08-21,115,0,0.0
599,2009-08-22,83,0,0.0
600,2009-08-23,77,0,0.0
601,2009-08-24,101,0,0.0
602,2009-08-25,67,0,0.0
603,2009-08-26,57,0,0.0
604,2009-08-27,51,0,0.0
605,2009-08-28,92,0,0.0
606,2009-08-29,51,0,0.0
607,2009-08-30,33,0,0.0
608,2009-08-31,49,0,0.0
609,2009-09-01,117,0,0.0
610,2009-09-02,88,0,0.0
611,2009-09-03,62,0,0.0
612,2009-09-04,47,0,0.0
613,2009-09-05,93,0,0.0
614,2009-09-06,44,0,0.0
615,2009-09-07,72,0,0.0
616,2009-09-08,91,0,0.0
617,2009-09-09,115,0,0.0
618,2009-09-10,106,0,0.0
619,2009-09-11,119,0,0.0
620,2009-09-12,77,0,0.0
621,2009-09-13,61,0,0.0
622,2009-09-14,42,0,0.0
623,2009-09-15,100,0,0.0
624,2009-09-16,72,0,0.0
625,2009-09-17,85,0,0.0
626,2009-09-18,91,0,0.0
627,2009-09-19,57,0,0.0
628,2009-09-20,34,0,0.0
629,2009-09-21,39,0,0.0
630,2009-09-22,75,0,0.0
631,2009-09-23,58,0,0.0
632,2009-09-24,76,0,0.0
633,2009-09-25,53,0,0.0
634,2009-09-26,78,0,0.0
635,2009-09-27,61,0,0.0
636,2009-09-28,64,0,0.0
637,2009-09-29,89,0,0.0
638,2009-09-30,53,0,0.0
639,2009-10-01,55,0,0.0
640,2009-10-02,62,0,0.0
641,2009-10-03,103,0,0.0
642,2009-10-04,108,0,0.0
643,2009-10-05,75,0,0.0
644,2009-10-06,71,0,0.0
645,2009-10-07,60,0,0.0
646,2009-10-08,54,0,0.0
647,2009-10-09,108,0,0.0
648,2009-10-10,110,0,0.0
649,2009-10-11,82,0,0.0
650,2009-10-12,52,0,0.0
651,2009-10-13,79,0,0.0
652,2009-10-14,79,0,0.0
653,2009-10-15,71,0,0.0
654,2009-10-16,83,0,0.0
655,2009-10-17,57,0,0.0
656,2009-10-18,93,0,0.0
657,2009-10-19,49,0,0.0
658,2009-10-20,54,0,0.0
659,2009-10-21,60,0,0.0
660,2009-10-22,62,0,0.0
661,2009-10-23,52,0,0.0
662,2009-10-24,26,0,0.0
663,2009-10-25,20,0,0.0
664,2009-10-26,27,0,0.0
665,2009-10-27,68,0,0.0
666,2009-10-28,51,0,0.0
667,2009-10-29,60,0,0.0
668,2009-10-30,68,0,0.0
669,2009-10-31,52,0,0.0
670,2009-11-01,24,0,0.0
671,2009-11-02,25,0,0.0
672,2009-11-03,60,0,0.0
673,2009-11-04,59,0,0.0
674,2009-11-05,73,0,0.0
675,2009-11-06,82,0,0.0
676,2009-11-07,45,0,0.0
677,2009-11-08,53,0,0.0
678,2009-11-09,21,0,0.0
679,2009-11-10,53,0,0.0
680,2009-11-11,77,0,0.0
681,2009-11-12,94,0,0.0
682,2009-11-13,54,1,1.0
683,2009-11-14,29,1,1.0
684,2009-11-15,30,0,0.0
685,2009-11-16,57,0,0.0
686,2009-11-17,89,0,0.0
687,2009-11-18,99,0,0.0
688,2009-11-19,97,0,0.0
689,2009-11-20,93,0,0.0
690,2009-11-21,40,0,0.0
691,2009-11-22,30,0,0.0
692,2009-11-23,29,0,0.0
693,2009-11-24,60,0,0.0
694,2009-11-25,70,0,0.0
695,2009-11-26,70,0,0.0
696,2009-11-27,57,0,0.0
697,2009-11-28,39,0,0.0
698,2009-11-29,40,0,0.0
699,2009-11-30,24,0,0.0
700,2009-12-01,42,0,0.0
701,2009-12-02,44,0,0.0
702,2009-12-03,47,0,0.0
703,2009-12-04,48,0,0.0
704,2009-12-05,37,0,0.0
705,2009-12-06,24,0,0.0
706,2009-12-07,31,0,0.0
707,2009-12-08,39,0,0.0
708,2009-12-09,43,0,0.0
709,2009-12-10,55,0,0.0
710,2009-12-11,39,1,1.0
711,2009-12-12,20,1,1.0
712,2009-12-13,14,1,1.0
713,2009-12-14,16,1,1.0
714,2009-12-15,35,1,1.0
715,2009-12-16,67,1,2.0
716,2009-12-17,76,1,2.0
717,2009-12-18,47,1,1.0
718,2009-12-19,40,1,1.0
719,2009-12-20,30,0,0.0
720,2009-12-21,17,0,0.0
721,2009-12-22,24,0,0.0
722,2009-12-23,20,0,0.0
723,2009-12-24,7,0,0.0
724,2009-12-25,3,1,1.0
725,2009-12-26,4,0,0.0
726,2009-12-27,5,0,0.0
727,2009-12-28,4,0,0.0
728,2009-12-29,18,0,0.0
729,2009-12-30,31,0,0.0
730,2009-12-31,63,0,0.0
